iter	Logloss
0	0.6592091832
1	0.63376104
2	0.6105383346
3	0.5894802866
4	0.5695905964
5	0.5511710829
6	0.5332369765
7	0.5190245225
8	0.5062394724
9	0.4957942385
10	0.4878193359
11	0.4780556689
12	0.4710373485
13	0.4638754562
14	0.4570954217
15	0.4518843005
16	0.4464201995
17	0.4419008485
18	0.4376205931
19	0.4340259179
20	0.4308044462
21	0.4278946807
22	0.4255991371
23	0.4228421368
24	0.4204916023
25	0.4181694294
26	0.4161883737
27	0.4149416848
28	0.4132514708
29	0.4116472827
30	0.40999364
31	0.4089262739
32	0.4078006093
33	0.4065575748
34	0.4052851879
35	0.4041107965
36	0.4034184424
37	0.402732452
38	0.4016233833
39	0.4007940918
40	0.3996575594
41	0.3988295832
42	0.3978143407
43	0.3969840559
44	0.3965563494
45	0.3957835085
46	0.3950905454
47	0.3945330888
48	0.3933978169
49	0.3928641993
50	0.3922719384
51	0.3916848673
52	0.391087428
53	0.3902922976
54	0.3896928896
55	0.3891404764
56	0.3887007752
57	0.3881004759
58	0.3875970596
59	0.387216682
60	0.3868262452
61	0.3863328411
62	0.3859515137
63	0.3853993791
64	0.3850644915
65	0.3845812833
66	0.3839089904
67	0.3834018127
68	0.3828008297
69	0.3821406879
70	0.3816971377
71	0.3813513491
72	0.3811459602
73	0.3807866787
74	0.3805506873
75	0.3799641839
76	0.3792793562
77	0.3785751527
78	0.3781496687
79	0.3775251258
80	0.3773081366
81	0.3770416083
82	0.376415941
83	0.3757758396
84	0.3754546982
85	0.3751171357
86	0.3748011252
87	0.3742657379
88	0.3738825846
89	0.3735864406
90	0.3733415832
91	0.3730331143
92	0.3724652659
93	0.3722263785
94	0.3718954777
95	0.3716842906
96	0.3713805145
97	0.3711037154
98	0.370860512
99	0.3706458333
100	0.3703947662
101	0.3700547343
102	0.3695189518
103	0.3690624106
104	0.3686316735
105	0.3682752236
106	0.3680285694
107	0.3674435683
108	0.367169
109	0.3667228627
110	0.3664897409
111	0.3658321183
112	0.3653868421
113	0.3650507938
114	0.364895307
115	0.3646025298
116	0.3643313744
117	0.3640896843
118	0.3637160025
119	0.3633458556
120	0.363148976
121	0.362867077
122	0.3624841871
123	0.3621457644
124	0.3618697519
125	0.3616854988
126	0.3611282329
127	0.3607627726
128	0.360422839
129	0.360104991
130	0.3598436817
131	0.3596491307
132	0.3595210387
133	0.3590779333
134	0.3587729806
135	0.3585935993
136	0.3581634376
137	0.357931078
138	0.3573201282
139	0.3570161539
140	0.3568664269
141	0.3566514261
142	0.3563784237
143	0.3561874712
144	0.3559926714
145	0.355806374
146	0.3551921432
147	0.354943649
148	0.3546832713
149	0.3544148412
150	0.3540508002
151	0.3537745863
152	0.3534735195
153	0.35317983
154	0.3527825881
155	0.3525445529
156	0.3519842923
157	0.3516005812
158	0.351086485
159	0.3508300315
160	0.3505984263
161	0.3502125038
162	0.3499554055
163	0.3496650276
164	0.349369669
165	0.3490702283
166	0.3488396303
167	0.3486642364
168	0.3482690059
169	0.3480443185
170	0.3477493844
171	0.3475125059
172	0.3471886255
173	0.3469555206
174	0.3467582547
175	0.3464512365
176	0.3461663084
177	0.3459493519
178	0.3456654381
179	0.3454138581
180	0.3451978848
181	0.3448920541
182	0.344611031
183	0.3444247717
184	0.3442624641
185	0.3440144335
186	0.3435585477
187	0.3431791253
188	0.3428391976
189	0.3423649993
190	0.3420052846
191	0.3416087364
192	0.3410893394
193	0.3408099934
194	0.3403760435
195	0.3398186595
196	0.3393667295
197	0.3391051727
198	0.3387636056
199	0.3384154961
