iter	Passed	Remaining
0	57	11460
1	60	6001
2	63	4188
3	67	3283
4	70	2730
5	73	2369
6	76	2106
7	79	1907
8	82	1754
9	85	1629
10	88	1523
11	91	1438
12	95	1369
13	98	1305
14	101	1248
15	104	1201
16	107	1156
17	110	1119
18	113	1084
19	116	1050
20	119	1020
21	122	993
22	125	968
23	128	943
24	131	921
25	134	899
26	137	880
27	140	862
28	143	846
29	146	829
30	149	813
31	152	800
32	155	786
33	158	773
34	161	760
35	164	747
36	167	736
37	170	726
38	173	715
39	176	706
40	179	695
41	182	686
42	185	677
43	188	669
44	191	661
45	194	652
46	197	644
47	200	636
48	203	628
49	206	620
50	209	613
51	212	605
52	215	598
53	219	592
54	222	585
55	225	578
56	227	571
57	230	565
58	233	558
59	237	554
60	240	548
61	243	542
62	246	536
63	249	530
64	252	524
65	255	519
66	258	513
67	262	509
68	265	504
69	268	498
70	271	494
71	275	489
72	279	485
73	283	482
74	287	478
75	290	474
76	294	469
77	297	464
78	300	459
79	303	454
80	306	449
81	309	444
82	312	440
83	315	435
84	318	431
85	321	426
86	325	422
87	329	419
88	334	417
89	338	414
90	341	409
91	344	404
92	347	400
93	350	395
94	354	391
95	357	387
96	360	383
97	364	379
98	367	375
99	371	371
100	377	370
101	384	369
102	387	364
103	390	360
104	394	356
105	397	352
106	400	348
107	404	344
108	407	340
109	411	336
110	415	332
111	418	329
112	430	331
113	434	327
114	437	323
115	440	319
116	443	314
117	446	310
118	450	306
119	454	302
120	457	298
121	460	294
122	464	290
123	468	286
124	474	284
125	478	280
126	482	277
127	485	272
128	488	268
129	491	264
130	494	260
131	497	256
132	500	252
133	503	248
134	507	244
135	510	240
136	513	236
137	517	232
138	522	229
139	527	225
140	530	222
141	533	218
142	536	213
143	539	209
144	543	206
145	546	202
146	549	198
147	553	194
148	557	190
149	560	186
150	563	182
151	567	179
152	572	175
153	576	172
154	580	168
155	583	164
156	586	160
157	589	156
158	592	152
159	595	148
160	598	145
161	601	141
162	605	137
163	608	133
164	611	129
165	615	125
166	621	122
167	626	119
168	629	115
169	632	111
170	635	107
171	639	104
172	642	100
173	646	96
174	649	92
175	653	89
176	656	85
177	659	81
178	664	78
179	674	74
180	677	71
181	680	67
182	683	63
183	686	59
184	689	55
185	692	52
186	696	48
187	699	44
188	702	40
189	705	37
190	708	33
191	714	29
192	723	26
193	726	22
194	729	18
195	732	14
196	735	11
197	738	7
198	742	3
199	745	0
