PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,IsAlone,TotalSpend,HasAnySpending,CabinDeck,CabinNum,CabinSide,SpendPerPerson,SpendingDiversity,MaxSpendCategory,SpendingVariance,log_RoomService,log_FoodCourt,log_ShoppingMall,log_Spa,log_VRDeck,log_TotalSpend,AgeGroup,IsMinor,IsElderly,AgeDeviation,IsOldestInGroup,IsYoungestInGroup,CabinRegion,DeckSide,Journey,CryoSpend,VIPSpend,CryoAge,VIPAge,AloneSpend,HomePlanet_freq,Destination_freq,CabinDeck_freq,CabinSide_freq,MaxSpendCategory_freq,Journey_freq,HomePlanet_target_encoded,Destination_target_encoded,CabinDeck_target_encoded,MaxSpendCategory_target_encoded,Age_squared,TotalSpend_squared,GroupSize_squared,AgeGroupSizeRatio,SpendAgeRatio,Age_was_missing,Cabin_was_missing,HomePlanet_was_missing,Destination_was_missing,CryoSleep_was_missing,VIP_was_missing,RoomService_was_missing,FoodCourt_was_missing,ShoppingMall_was_missing,Spa_was_missing,VRDeck_was_missing
0001_01,0,0,0,39.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,166.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2415574402467232,0.70508866615266,0.09406322282189669,0.4858905165767155,0.5533538936006168,0.13831919814957594,0.6581206146903298,0.47225089832192496,0.7259249835905833,0.6322105754216758,1521.0,0.0,1,19.5,0.0,0,0,0,0,0,0,0,0,0,0,0
0002_01,1,0,0,24.0,0,109.0,9.0,25.0,549.0,44.0,1.0,1,1,736.0,1,1,926.0,1,736.0,5,1,51896.2,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,6.602587892189336,1,0,0,0.0,1,1,4,1,1,0.0,0.0,0.0,0.0,736.0,0.5515034695451041,0.70508866615266,0.3393986121819584,0.5141094834232846,0.10994602929838088,0.3876638396299152,0.4278072379081645,0.47225089832192496,0.4392551587098093,0.1088458404683895,576.0,541696.0,1,12.0,29.44,0,0,0,0,0,0,0,0,0,0,0
0003_01,0,0,0,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0.0,2,0,10383.0,1,2,51.0,1,5191.5,4,1,9080478.299999999,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,9.248021438943871,2,0,0,12.5,1,0,0,2,0,0.0,10383.0,0.0,58.0,0.0,0.2415574402467232,0.70508866615266,0.027293754818812646,0.5141094834232846,0.10994602929838088,0.13831919814957594,0.6581206146903298,0.47225089832192496,0.49637682726314236,0.1088458404683895,3364.0,107806689.0,4,19.333333333333332,175.98305084745763,0,0,0,0,0,0,0,0,0,0,0
0003_02,0,0,0,33.0,0,0.0,1283.0,371.0,3329.0,193.0,0.0,2,0,5176.0,1,2,51.0,1,2588.0,4,1,1886256.2000000002,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,8.551981016901902,3,0,0,12.5,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2415574402467232,0.70508866615266,0.027293754818812646,0.5141094834232846,0.10994602929838088,0.13831919814957594,0.6581206146903298,0.47225089832192496,0.49637682726314236,0.1088458404683895,1089.0,26790976.0,4,11.0,152.23529411764707,0,0,0,0,0,0,0,0,0,0,0
0004_01,1,0,0,16.0,0,303.0,70.0,151.0,565.0,2.0,1.0,1,1,1091.0,1,1,1.0,1,1091.0,5,1,50170.7,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,6.9957661563048505,4,1,0,0.0,1,1,0,1,1,0.0,0.0,0.0,0.0,1091.0,0.5515034695451041,0.70508866615266,0.3393986121819584,0.5141094834232846,0.10994602929838088,0.3876638396299152,0.4278072379081645,0.47225089832192496,0.4392551587098093,0.1088458404683895,256.0,1190281.0,1,8.0,64.17647058823529,0,0,0,0,0,0,0,0,0,0,0
0005_01,1,0,1,44.0,0,0.0,483.0,0.0,291.0,0.0,1.0,1,1,774.0,1,1,926.0,0,774.0,2,2,49538.700000000004,0.0,6.182084906716632,0.0,5.676753802268282,0.0,6.652863029353347,0,0,0,0.0,1,1,4,3,2,0.0,0.0,0.0,0.0,774.0,0.5515034695451041,0.09128758673862761,0.3393986121819584,0.4858905165767155,0.12814186584425596,0.08388589051657672,0.4278072379081645,0.5037670422481338,0.4392551587098093,0.5851385071382942,1936.0,599076.0,1,22.0,17.2,0,0,0,0,0,0,0,0,0,0,0
0006_01,1,0,0,26.0,0,42.0,1539.0,3.0,0.0,0.0,1.0,2,0,1584.0,1,1,2.0,1,792.0,3,2,467120.7,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,7.368339686311381,3,0,0,1.0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.5515034695451041,0.70508866615266,0.3393986121819584,0.5141094834232846,0.12814186584425596,0.3876638396299152,0.4278072379081645,0.47225089832192496,0.4392551587098093,0.5851385071382942,676.0,2509056.0,4,8.666666666666666,58.666666666666664,0,0,0,0,0,0,0,0,0,0,0
0006_02,1,1,0,28.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0.0,0,3,754.0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1.0,1,0,3,4,1,0.0,0.0,28.0,0.0,0.0,0.5515034695451041,0.70508866615266,0.29151888974556667,0.5141094834232846,0.5533538936006168,0.3876638396299152,0.4278072379081645,0.47225089832192496,0.5161682507014387,0.6322105754216758,784.0,0.0,4,9.333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,1
0007_01,1,0,0,35.0,0,0.0,785.0,17.0,216.0,0.0,1.0,1,1,1018.0,1,1,3.0,1,1018.0,3,2,113976.3,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,6.926577033222725,3,0,0,0.0,1,1,0,1,1,0.0,0.0,0.0,0.0,1018.0,0.5515034695451041,0.70508866615266,0.3393986121819584,0.5141094834232846,0.12814186584425596,0.3876638396299152,0.4278072379081645,0.47225089832192496,0.4392551587098093,0.5851385071382942,1225.0,1036324.0,1,17.5,28.27777777777778,0,0,0,0,0,0,0,0,0,0,0
0008_01,0,1,2,14.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0.0,0,0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,17.0,0,1,0,0,3,0.0,0.0,14.0,0.0,0.0,0.2415574402467232,0.20362374710871242,0.09406322282189669,0.4858905165767155,0.5533538936006168,0.10100231303006939,0.6581206146903298,0.6094122851116,0.7259249835905833,0.6322105754216758,196.0,0.0,9,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0
0008_02,0,1,0,34.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0.0,0,0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3.0,0,0,0,0,0,0.0,0.0,34.0,0.0,0.0,0.2415574402467232,0.70508866615266,0.09406322282189669,0.4858905165767155,0.5533538936006168,0.13831919814957594,0.6581206146903298,0.47225089832192496,0.7259249835905833,0.6322105754216758,1156.0,0.0,9,8.5,0.0,0,0,0,0,0,0,0,0,1,0,0
